"","LOCATION","variable","value","Cancel_rate","Delay_rate"
"80","Perth","Aug",122,43.6950420685168,94.2683395170784
"81","Perth","Sep",87,43.1187187585758,91.1013184540446
"82","Perth","Oct",39,40.7806277551994,85.0729918876895
"83","Perth","Nov",23,72.1613596843601,86.5128159353438
"84","Perth","Dec",12,87.8584517761475,105.038113700084
"85","Sydney","Jan",79,127.084624957304,134.566494536558
"86","Sydney","Feb",118,122.594109638768,131.191245387337
"87","Sydney","Mar",88,244.97693630836,144.592345978845
"88","Sydney","Apr",119,256.514809517248,126.378077220319
"89","Sydney","May",106,102.217350692723,99.9021110936901
"90","Sydney","Jun",100,174.054057814102,128.90905445401
"91","Sydney","Jul",73,197.335513871323,151.341184399575
"92","Sydney","Aug",74,177.03226844718,126.168660011113
"93","Sydney","Sep",62,152.131022722819,130.690430851106
"94","Sydney","Oct",64,131.981210651792,149.193378540731
"95","Sydney","Nov",85,160.39099423473,151.33938080337
"96","Sydney","Dec",74,281.752443673075,164.496883552124
